#,Nota,hidden_dims,dropout,batchnorm,optimizer,lr,epochs,Parametros,Train loss (final),Val loss (final),Val accuracy,Val precision,Val recall,Val F1,Tiempo (s),conv_channels,kernel_size,pooling
M4,+ BatchNorm1d,"(256, 128)",0.3,True,adam,0.001,6,235914,0.0795224268262585,0.07727782118817171,0.9758333333333333,0.9760859546012141,0.9754625551352258,0.9756751227721597,18.645601272583008,,,
M5,Learning rate alto (1e-2),"(256, 128)",0.3,True,adam,0.01,6,235914,0.0829538854509592,0.08218519027034442,0.9749166666666667,0.9747559122825165,0.9748035304147045,0.974715758219608,16.533947944641113,,,
M2,"Mas profunda/ancha (256, 128)","(256, 128)",0.0,False,adam,0.001,6,235146,0.03500244840917488,0.08950522992014885,0.9743333333333334,0.9739726198263756,0.9743302476700334,0.9740873771818427,17.47701406478882,,,
M3,+ Dropout 0.3,"(256, 128)",0.3,False,adam,0.001,6,235146,0.08345191076397895,0.08456695581475894,0.9735833333333334,0.9733107600993993,0.9735609842493659,0.973383752742647,17.29191493988037,,,
M6,Optimizador SGD+momentum,"(256, 128)",0.3,True,sgd,0.01,6,235914,0.10210820353900393,0.08505639689664046,0.97325,0.9733796568211586,0.9728814751299808,0.9730626392209116,17.183608293533325,,,
M1,Baseline (1 capa oculta de 128),"(128,)",0.0,False,adam,0.001,6,101770,0.05044836702942848,0.09014555622140566,0.9730833333333333,0.972799523979601,0.972986439697833,0.9728447957025944,10.554523706436157,,,
C5,AvgPool2d en vez de MaxPool2d,,0.3,True,,0.001,6,207018,0.0361841581997772,0.040404898802439373,0.9891666666666666,0.9892043188796403,0.9890701306278533,0.9891141577123953,125.10671520233154,"(16, 32)",3.0,avg
C6,Kernel mas grande (5x5),,0.3,True,,0.001,6,215466,0.03138388401766618,0.038378463602314394,0.98875,0.9887763321150859,0.9886909544174614,0.9886996852481469,165.98363399505615,"(16, 32)",5.0,max
C2,"Mas filtros (32, 64)",,0.0,False,,0.001,6,421642,0.016322080788978687,0.0436769963807116,0.9881666666666666,0.9881448601669798,0.9880929835145228,0.9880941764927774,241.11527061462402,"(32, 64)",3.0,max
C4,+ Dropout 0.3,,0.3,True,,0.001,6,207018,0.03555873277845482,0.04170207554971178,0.9879166666666667,0.988027034908951,0.9877431154959384,0.9878584385046617,133.8198528289795,"(16, 32)",3.0,max
C1,"Baseline (16, 32 filtros)",,0.0,False,,0.001,6,206922,0.021449032278421026,0.039872717380523684,0.9875,0.9873659433945058,0.987462326857161,0.9874023349970147,125.18879008293152,"(16, 32)",3.0,max
C3,+ BatchNorm2d,,0.0,True,,0.001,6,207018,0.02116671654287105,0.04296223064760367,0.98675,0.9865253036192468,0.9867373696787572,0.9865928397878572,134.62116193771362,"(16, 32)",3.0,max
